,school_name,city,lat,lon,altitude
130,Richard D. Browning High,LongBeach,33.79659342857143,-118.154466,0.0
131,Barton Elementary School,LongBeach,33.7992643,-118.1326464,0.0
132,Hudson K-8,LongBeach,33.79960078571428,-118.21968342857143,0.0
133,Lindbergh Middle School,LongBeach,33.854431657894736,-118.18047868421053,0.0
134,Mann Elementary School,LongBeach,33.765463857142855,-118.15359328571428,0.0
135,Stephens Middle School,LongBeach,33.80906108163265,-118.21837085714286,0.0
136,Washington Middle School,LongBeach,33.78482397297297,-118.19496064864865,0.0
137,Captain Raymond Collins School,LongBeach,33.8665695,-118.1484234128977,0.0
138,Cabrillo High School,LongBeach,33.793669,-118.2158158,0.0
139,Jordan High School,LongBeach,33.87344,-118.186019,0.0
140,Whittier Elementary School,LongBeach,33.78912006122449,-118.17208344897959,0.0
141,Intellectual Virtues Academy,LongBeach,33.788174,-118.189472,0.0
142,Pacific Baptist School,LongBeach,33.81772371428571,-118.19796402040816,0.0
143,Marina Montessori School,LongBeach,33.799813,-118.141154,0.0
144,Parkridge Private School,LongBeach,33.82239838461538,-118.18945292307693,0.0
145,United Faith Community,LongBeach,33.860011,-118.1856252,0.0
146,Laurelcrest School for Girls,LongBeach,33.8197952,-118.1209908,0.0
147,Zinsmeyer Academy,LongBeach,33.7826043,-118.1562024,0.0
148,Oakwood Academy,LongBeach,33.82854415384615,-118.189254,0.0
149,Westerly School of Long Beach,LongBeach,33.8084329318865,-118.15708992102412,0.0
150,Educational Partnership High School,LongBeach,33.78967004081633,-118.19495887755102,0.0
151,Montessori School-Eureka,LongBeach,,,
152,First Baptist Church School,LongBeach,33.779096,-118.192277,0.0
153,City Christian School,LongBeach,33.77405267346939,-118.16514848979591,0.0
154,Renaissance High School For The Arts,LongBeach,33.776628,-118.19025677777778,0.0
155,New Life Christian Academy,LongBeach,33.872280181818184,-118.16876181818182,0.0
156,Giant Steps Children's Center,LongBeach,33.880925,-118.155765,0.0
157,Montessori Academy Of Long Beach,LongBeach,33.82903842842721,-118.11645971948904,0.0
158,Edgewater Pre-School,LongBeach,33.7886839,-118.0940163,0.0
159,Select Community Day (Secondary) School,LongBeach,33.79650887755102,-118.13627857142858,0.0
161,Long Beach Unified School District Rop,LongBeach,33.8031943,-118.1259771,0.0
162,Bethany Baptist Elementary School,LongBeach,33.7961587,-118.1340178,0.0
163,Southwestern Longview Private,LongBeach,33.8447434,-118.1991493,0.0
164,Bixby Oaks Children Center,LongBeach,33.827881727272725,-118.18925481818182,0.0
165,Kindercare Learning Center #1626 Belmont Shore,LongBeach,,,
166,Oak Tree Children's Center,LongBeach,33.78821608333333,-118.152302,0.0
167,Long Beach Montessori School,LongBeach,,,
168,Artesian Well Preparatory Academy,LongBeach,33.79232961616162,-118.09829391919192,0.0
169,Open Door Enrichment,LongBeach,33.87419530612245,-118.2019693265306,0.0
170,Carousel School,LongBeach,33.7712505,-118.16746538926925,0.0
171,Bay Shore School,LongBeach,33.76171640428699,-118.1333715535777,0.0
172,Rainbow Christian Academy,LongBeach,33.827505333333335,-118.19190433333334,0.0
173,Seaside Academy,LongBeach,33.867450000000005,-118.17381575,0.0
174,St. Barnabas Elementary School,LongBeach,33.83107389285715,-118.17726864285714,0.0
175,Montessori School Eureka,LongBeach,,,
176,Child & Family Center,LongBeach,33.783723408270355,-118.12223378917277,0.0
177,Play House North,LongBeach,,,
178,Simply Kare Child Development Center,LongBeach,33.78303590322581,-118.14578851612903,0.0
179,Creative Arts Day Care,LongBeach,33.784890346938774,-118.17208632653062,0.0
180,Whittier Child Development Center,LongBeach,33.788869530612246,-118.17381830612246,0.0
181,Ole' King Cole Develop Center,LongBeach,33.775259857142856,-118.16956457142858,0.0
182,Montessori Children's House 1,LongBeach,33.7886839,-118.0940163,0.0
183,West Child Development Center,LongBeach,33.795914,-118.21553607692307,0.0
184,Garfield Child Development Center-School Age,LongBeach,33.797886,-118.21316277551021,0.0
185,Young Horizons-N Pacific,LongBeach,33.801161816326534,-118.19360791836735,0.0
186,Grace Lutheran Christian Pre-School,LongBeach,33.8190358,-118.1966151,0.0
187,Palo Verde Christian Ch Nursery,LongBeach,33.80297738890566,-118.10800221966385,0.0
188,Magnolia Children Club-Comp Dev,LongBeach,33.80339469387755,-118.19380865306123,0.0
189,First Baptist Pre-School & Kindergarten,LongBeach,33.8317353,-118.2161678,0.0
190,Great Beginnings,LongBeach,33.77179143478261,-118.15616286956522,0.0
191,A Love 4 Learning Academy,LongBeach,33.77068984615385,-118.18756846153846,0.0
192,Long Beach Kiddy Kollege,LongBeach,33.81311816666666,-118.1892485,0.0
193,Muir Child Development Center,LongBeach,33.81264093877551,-118.21119463265306,0.0
194,Belmont Heights Un Methodist Nursery,LongBeach,33.768987,-118.1465318,0.0
195,Sander's Teeny Tiny Pre-School,LongBeach,33.81587183333333,-118.215547,0.0
196,Mann Child Development Center,LongBeach,,,
197,Christian Life Learning Center,LongBeach,33.819106,-118.193639,0.0
198,YMCA-GLB-Lutheran Church Site,LongBeach,33.8317353,-118.2161678,0.0
199,Bundle Of Joy Day Care 4,LongBeach,33.82187224489796,-118.18925669387755,0.0
200,Kidworks Children Center,LongBeach,33.76453379591837,-118.14992338775511,0.0
201,Singing Fountains Pre-School,LongBeach,33.823616428571434,-118.07191426530612,0.0
202,Our Saviour's Lutheran Pre-School,LongBeach,33.770922125,-118.16449887499999,0.0
203,New Horizons Christian School,LongBeach,33.824473510204086,-118.18511275510204,0.0
204,Ca Heights Un Methodist Chldrn Center,LongBeach,33.82566255102041,-118.17640363265306,0.0
205,Early Childhood Ed Center,LongBeach,33.80434439337101,-118.14859360950665,0.0
206,Grace 1st Presbyterian Pre-School,LongBeach,33.7725796,-118.1030718,0.0
207,Long Beach Day Nursery-West,LongBeach,33.82923386133863,-118.12526740644697,0.0
208,Long Beach Day Nursery-East,LongBeach,33.7882985,-118.1242461,0.0
209,Phases-Early Comp Learning Child Care Center,LongBeach,,,
210,W Anaheim Head Start Center,LongBeach,33.7825941,-118.2013524,0.0
211,Bethany Lutheran Pre-School,LongBeach,33.84115146938775,-118.13371481632653,0.0
212,Twain Child Development Center,LongBeach,,,
213,Lakewood Vlg Community Church Nursery,LongBeach,33.839937393939394,-118.13506393939393,0.0
214,Fairfield Family YMCA,LongBeach,33.846064262626264,-118.1850435050505,0.0
215,Young Horizons Child Development Center,LongBeach,33.773045,-118.185122,0.0
216,Burbank Child Development Center,LongBeach,33.772286434343435,-118.16429806060606,0.0
217,Young Horizons-De Las Flores,LongBeach,33.773045,-118.185122,0.0
218,Stevenson Child Development Center,LongBeach,,,
219,Carver Child Development Center,LongBeach,,,
220,Lakewood Children Pre-School,LongBeach,,,
221,Discovery Pre-School At Laucc,LongBeach,33.7886839,-118.0940163,0.0
222,Long Beach Christian Day Care Center,LongBeach,33.819213250000004,-118.12301626478252,0.0
223,YMCA Creative Beginnings,LongBeach,33.858533,-118.18587,0.0
224,St Luke's Christian Pre-School,LongBeach,33.819212699999994,-118.12171346837917,0.0
225,Educational Enrichment Child Care Center,LongBeach,33.85868243243243,-118.17717464864864,0.0
226,Isabel Patterson Child Development Center,LongBeach,33.7886839,-118.0940163,0.0
227,Seaside Child Development Center,LongBeach,33.778401099999996,-118.1187786366041,0.0
228,Los Altos United Methodist Pre-School,LongBeach,33.80316089795918,-118.11575204081633,0.0
229,Parkcrest Early Childhood School,LongBeach,33.829427495138745,-118.11645762898135,0.0
230,Abundance Of Life Day Care Center,LongBeach,33.8511254,-118.1954013,0.0
231,North Child Development Center,LongBeach,,,
232,Edison Child Day Care Center,LongBeach,33.775251,-118.20025702040816,0.0
233,Grant Child Development Center,LongBeach,,,
234,Christ Lutheran Pre-School,LongBeach,,,
235,Elby's Tots,LongBeach,,,
236,Carmelitos Child Development Center,LongBeach,33.848351707412036,-118.18180032961476,0.0
237,Little Light House Ed Child Care Center,LongBeach,33.7779958,-118.1924688,0.0
238,Montessori On Elm,LongBeach,33.77842914285714,-118.18755688571429,0.0
239,First Lutheran Pre-School,LongBeach,33.778533055555556,-118.18624788888889,0.0
240,Comprehensive Child Development Center,LongBeach,33.80371591836735,-118.19380804081634,0.0
241,Muila Area 2,LongBeach,33.787449775510204,-118.17636214285714,0.0
242,Oaktree Preschool And Kindergarten,LongBeach,33.78821608333333,-118.152302,0.0
243,Oakwood Academy - Bixby Campus,LongBeach,33.82854415384615,-118.189254,0.0
244,Maple Village Waldorf School,LongBeach,33.773589242424244,-118.14559175757576,0.0
245,Beach High-Intensive Learning Program,LongBeach,33.80444830884199,-118.14923883556462,0.0
246,Reid High School,LongBeach,33.79746985,-118.21822514343401,0.0
