,city,school_name,school_rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district,English,Math,Science,pre_k_school,elementary_school,middle_school,high_school,ratio_bins,lat,lon,altitude,Asian,Black,Filipino,Hispanic,Native American,Pacific Islander,Two or more races,Unspecified,White
28,Lakewood,Covenant Kids Pre-School,Unrated,"21209 Claretta Avenue, Lakewood, CA, 90716",https://www.greatschools.org/california/lakewood/29408-Covenant-Kids-Pre-School/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.83711284292853,-118.06773482450492,0.0,,,,,,,,,
29,Lakewood,Ymca Glb Madison Site,Unrated,"2801 Bomberry Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/29426-Ymca-Glb-Madison-Site/,Private,PK-K,,Unknown,Private,,,,True,False,False,False,Unknown,33.838556660582746,-118.15879148745206,0.0,,,,,,,,,
30,Lakewood,Spectrum Center- Long Beach Elementary,Unrated,"6011 Centralia Street, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/33155-Spectrum-Center--Long-Beach-Elementary/,Private,K-12,103.0,Unknown,Private,,,,False,True,True,True,Unknown,33.839603016067954,-118.11458674004837,0.0,,,,,,,,,
31,Lakewood,St. Pancratius Parish School,Unrated,"3601 Saint Pancratius Place, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/8004-St.-Pancratius-Parish-School/,Private,K-8,151.0,Unknown,Private,,,,False,True,True,False,Unknown,33.8590728,-118.149209,0.0,,,,,,,,,
32,Lakewood,Saint Joseph High School,Unrated,"5825 Woodruff Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/8020-Saint-Joseph-High-School/,Private,9-12,523.0,Unknown,Private,,,,False,False,False,True,Unknown,33.860896229000936,-118.11678590972,0.0,,,,,,,,,
33,Lakewood,St. Timothy Lutheran School,Unrated,"4645 Woodruff Ave, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/9520-St.-Timothy-Lutheran-School/,Private,PK-3,,Unknown,Private,,,,True,True,False,False,Unknown,33.84153368093977,-118.11609755765394,0.0,,,,,,,,,
34,Cerritos,Whitney High School,10,"16800 Shoemaker Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1430-Whitney-High-School/,Public district,7-12,1009.0,23:1,Abc Unified School District,99.0,98.0,93.0,False,False,True,True,21-30,33.8777826,-118.05355453821169,0.0,59%,1%,17%,15%,<1%,<1%,2%,2%,4%
35,Cerritos,Wittmann (Helen) Elementary School,10,"16801 Yvette Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1432-Wittmann-Helen-Elementary-School/,Public district,K-6,620.0,26:1,Abc Unified School District,87.0,74.0,74.0,False,True,False,False,21-30,33.878112,-118.057171,0.0,43%,9%,14%,25%,,,4%,,6%
36,Cerritos,Carmenita Middle School,9,"13418 Moore St, Cerritos, CA 90703",https://www.greatschools.org/california/cerritos/1408-Carmenita-Middle-School/,Public district,7-8,679.0,27:1,Abc Unified School District,77.0,60.0,60.0,False,False,True,False,21-30,33.88195092307693,-118.0456346153846,0.0,43%,6%,13%,26%,<1%,<1%,3%,2%,7%
37,Cerritos,Cerritos Elementary School,9,"13600 183rd Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1410-Cerritos-Elementary-School/,Public district,K-6,673.0,27:1,Abc Unified School District,85.0,73.0,66.0,False,True,False,False,21-30,33.8650147,-118.0411752,0.0,54%,5%,11%,18%,1%,<1%,3%,2%,6%
