,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
129,Singing Fountains Pre-School,Unrated,"3655 North Norwalk Boulevard, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19920-Singing-Fountains-Pre-School/,Private,PK-K,N/A,N/A,N/A
130,Our Saviour's Lutheran Pre-School,Unrated,"370 Junipero Avenue, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/19921-Our-Saviours-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
131,New Horizons Christian School,Unrated,"3707 Atlantic Ave, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19922-New-Horizons-Christian-School/,Private,PK,N/A,N/A,N/A
132,Ca Heights Un Methodist Chldrn Center,Unrated,"3759 Orange Avenue, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19923-Ca-Heights-Un-Methodist-Chldrn-Center/,Private,PK,N/A,N/A,N/A
133,Early Childhood Ed Center,Unrated,"3801 East Willow Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19924-Early-Childhood-Ed-Center/,Private,PK,N/A,N/A,N/A
134,Grace 1st Presbyterian Pre-School,Unrated,"3955 North Studebaker Road, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19925-Grace-1st-Presbyterian-Pre-School/,Private,PK,N/A,N/A,N/A
135,Long Beach Day Nursery-West,Unrated,"3965 Bellflower Blvd, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19926-Long-Beach-Day-Nursery-West/,Private,PK,N/A,N/A,N/A
136,Long Beach Day Nursery-East,Unrated,"3965 North Bellflower Boulevard, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19927-Long-Beach-Day-Nursery-East/,Private,PK,N/A,N/A,N/A
137,Phases-Early Comp Learning Child Care Center,Unrated,"404 North Newport Avenue, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/19928-Phases-Early-Comp-Learning-Child-Care-Center/,Private,PK,N/A,N/A,N/A
138,W Anaheim Head Start Center,Unrated,"440 West Anaheim Street, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/19929-W-Anaheim-Head-Start-Center/,Private,PK,N/A,N/A,N/A
139,Bethany Lutheran Pre-School,Unrated,"4644 Clark Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19930-Bethany-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
140,Twain Child Development Center,Unrated,"4310 Long Beach Boulevard #200, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19931-Twain-Child-Development-Center/,Private,PK,N/A,N/A,N/A
141,Lakewood Vlg Community Church Nursery,Unrated,"4515 Sunfield Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19932-Lakewood-Vlg-Community-Church-Nursery/,Private,PK,N/A,N/A,N/A
142,Fairfield Family YMCA,Unrated,"4949 Atlantic Ave, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/19933-Fairfield-Family-YMCA/,Private,PK,N/A,N/A,N/A
143,Young Horizons Child Development Center,Unrated,"501 Atlantic Avenue, Long Beach, CA, 90802",https://www.greatschools.org/california/long-beach/19934-Young-Horizons-Child-Development-Center/,Private,PK,N/A,N/A,N/A
144,Burbank Child Development Center,Unrated,"535 Junipero Avenue, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/19935-Burbank-Child-Development-Center/,Private,PK-K,N/A,N/A,N/A
145,Young Horizons-De Las Flores,Unrated,"501 Atlantic Avenue, Long Beach, CA, 90802",https://www.greatschools.org/california/long-beach/19936-Young-Horizons-De-Las-Flores/,Private,PK,N/A,N/A,N/A
146,Stevenson Child Development Center,Unrated,"4310 Long Beach Boulevard #200, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19937-Stevenson-Child-Development-Center/,Private,PK-K,N/A,N/A,N/A
147,Carver Child Development Center,Unrated,"5335 East Pavo Street, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19938-Carver-Child-Development-Center/,Private,PK-K,N/A,N/A,N/A
148,Lakewood Children Pre-School,Unrated,"5336 East Arbor Road, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19939-Lakewood-Children-Pre-School/,Private,PK,N/A,N/A,N/A
149,Discovery Pre-School At Laucc,Unrated,"5550 East Atherton Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19940-Discovery-Pre-School-At-Laucc/,Private,PK,N/A,N/A,N/A
150,Long Beach Christian Day Care Center,Unrated,"5559 East Wardlow Road, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19941-Long-Beach-Christian-Day-Care-Center/,Private,PK,N/A,N/A,N/A
151,Creative Beginnings,Unrated,"5600 Linden Avenue, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/19942-Creative-Beginnings/,Private,PK,N/A,N/A,N/A
152,St Luke's Christian Pre-School,Unrated,"5633 East Wardlow Road, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19943-St-Lukes-Christian-Pre-School/,Private,PK,N/A,N/A,N/A
153,Educational Enrichment Child Care Center,Unrated,"5640 Orange Ave, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/19944-Educational-Enrichment-Child-Care-Center/,Private,PK,N/A,N/A,N/A
154,Isabel Patterson Child Development Center,Unrated,"5700 East Atherton Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19945-Isabel-Patterson-Child-Development-Center/,Private,PK,N/A,N/A,N/A
155,Seaside Child Development Center,Unrated,"5901 E 7th St, Long Beach, CA, 90822",https://www.greatschools.org/california/long-beach/19946-Seaside-Child-Development-Center/,Private,PK,N/A,N/A,N/A
156,Los Altos United Methodist Pre-School,Unrated,"5950 East Willow Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19947-Los-Altos-United-Methodist-Pre-School/,Private,PK,N/A,N/A,N/A
157,Parkcrest Early Childhood School,Unrated,"3936 Woodruff Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/19948-Parkcrest-Early-Childhood-School/,Private,PK,N/A,N/A,N/A
158,Abundance Of Life Day Care Center,Unrated,"6100 Long Beach Boulevard, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/19949-Abundance-Of-Life-Day-Care-Center/,Private,PK,N/A,N/A,N/A
159,North Child Development Center,Unrated,"4310 Long Beach Boulevard #200, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19950-North-Child-Development-Center/,Private,PK,N/A,N/A,N/A
160,Edison Child Day Care Center,Unrated,"640 West 7th Street, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/19951-Edison-Child-Day-Care-Center/,Private,PK,N/A,N/A,N/A
161,Grant Child Development Center,Unrated,"4310 Long Beach Boulevard #200, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19952-Grant-Child-Development-Center/,Private,PK-K,N/A,N/A,N/A
162,Christ Lutheran Pre-School,Unrated,"6500 East Stearns Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19953-Christ-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
163,Elby's Tots,Unrated,"5600 North Paramount Boulevard, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/19955-Elbys-Tots/,Private,PK,N/A,N/A,N/A
164,Carmelitos Child Development Center,Unrated,"851 Via Carmelitos, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/19957-Carmelitos-Child-Development-Center/,Private,PK,N/A,N/A,N/A
