,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
94,Lowell Ymca School Age Cc Site,Unrated,"11537 Grovedale Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/29120-Lowell-Ymca-School-Age-Cc-Site/,Private,PK,N/A,N/A,N/A
95,Magnolia Head Start,Unrated,"11700 Pilgrim Way, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/29414-Magnolia-Head-Start/,Private,PK,N/A,N/A,N/A
96,Scott Head Start,Unrated,"7623 Gretna Avenue, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/29893-Scott-Head-Start/,Private,PK,N/A,N/A,N/A
97,Gonzalez Head Start,Unrated,"8903 La Puebla Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/29912-Gonzalez-Head-Start/,Private,PK,N/A,N/A,N/A
98,Moreno Head Start,Unrated,"12011 Louis Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/29931-Moreno-Head-Start/,Private,PK,N/A,N/A,N/A
99,Frontier High (Continuation) School,Unrated,"9401 Painter Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/3061-Frontier-High-Continuation-School/,Public district,9-12,520,15:1,Whittier Union High School District
100,Whittier Montessori School,Unrated,"14121 Coteau Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/31650-Whittier-Montessori-School/,Private,PK-K,34,N/A,N/A
101,Keystone Montessori Preschool Whittier,Unrated,"7056, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/31986-Keystone-Montessori-Preschool-Whittier/,Private,PK,N/A,N/A,N/A
102,SHEPHERD CENTER PRE SCHOOL,Unrated,"15215 Janine Drive, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/32486-SHEPHERD-CENTER-PRE-SCHOOL/,Private,PK-K,34,N/A,N/A
103,Early Childhood Education Center,Unrated,"5777 Lockheed Avenue, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/32860-Early-Childhood-Education-Center/,Public district,Ungraded,N/A,N/A,Whittier City Elementary School District
